Elapsed Time,X,Y,Z,Latitude,Longitude,Altitude,Accuracy,Speed,GPS Age,Mark,Min X,Max X,Min Y,Max Y,Min Z,Max Z
"0.000","-0.0173","-0.4923","-0.8727","50.894222","-1.394204","25.052","10","0.0","0.000","","-0.0173","-0.0173","-0.4923","-0.4923","-0.8727","-0.8727"
"0.050","-0.0571","-0.4867","-0.8783","50.894222","-1.394204","25.052","10","0.0","0.050","","-0.0571","-0.0571","-0.4867","-0.4867","-0.8783","-0.8783"
"0.102","-0.0669","-0.4806","-0.8747","50.894222","-1.394204","25.052","10","0.0","0.102","","-0.0669","-0.0669","-0.4806","-0.4806","-0.8747","-0.8747"
"0.153","-0.0466","-0.5010","-0.9159","50.894222","-1.394204","25.052","10","0.0","0.153","","-0.0466","-0.0466","-0.5010","-0.5010","-0.9159","-0.9159"
"0.208","-0.0610","-0.4847","-0.8765","50.894222","-1.394204","25.052","10","0.0","0.208","","-0.0610","-0.0610","-0.4847","-0.4847","-0.8765","-0.8765"
"0.258","-0.0685","-0.5010","-0.8659","50.894222","-1.394204","25.052","10","0.0","0.258","","-0.0685","-0.0685","-0.5010","-0.5010","-0.8659","-0.8659"
"0.309","-0.0619","-0.4876","-0.8804","50.894222","-1.394204","25.052","10","0.0","0.309","","-0.0619","-0.0619","-0.4876","-0.4876","-0.8804","-0.8804"
"0.360","-0.0707","-0.4855","-0.8777","50.894222","-1.394204","25.052","10","0.0","0.360","","-0.0707","-0.0707","-0.4855","-0.4855","-0.8777","-0.8777"
"0.414","-0.0835","-0.4212","-0.9170","50.894222","-1.394204","25.052","10","0.0","0.414","","-0.0835","-0.0835","-0.4212","-0.4212","-0.9170","-0.9170"
"0.465","-0.1164","-0.4321","-0.9749","50.894222","-1.394204","25.052","10","0.0","0.465","","-0.1164","-0.1164","-0.4321","-0.4321","-0.9749","-0.9749"
"0.519","-0.1236","-0.4001","-0.9247","50.894222","-1.394204","25.052","10","0.0","0.519","","-0.1236","-0.1236","-0.4001","-0.4001","-0.9247","-0.9247"
"0.574","-0.0813","-0.4120","-0.9606","50.894222","-1.394204","25.052","10","0.0","0.574","","-0.0813","-0.0813","-0.4120","-0.4120","-0.9606","-0.9606"
"0.631","-0.1376","-0.3708","-0.9493","50.894108","-1.394311","18.791","10","3.2","0.000","","-0.1376","-0.1376","-0.3708","-0.3708","-0.9493","-0.9493"
"0.681","-0.1614","-0.3792","-0.8770","50.894108","-1.394311","18.791","10","3.2","0.000","","-0.1614","-0.1614","-0.3792","-0.3792","-0.8770","-0.8770"
"0.731","-0.2075","-0.3550","-0.8780","50.894108","-1.394311","18.791","10","3.2","0.000","","-0.2075","-0.2075","-0.3550","-0.3550","-0.8780","-0.8780"
"0.783","-0.2475","-0.2842","-0.7471","50.894108","-1.394311","18.791","10","3.2","0.000","","-0.2475","-0.2475","-0.2842","-0.2842","-0.7471","-0.7471"
"0.838","-0.3787","-0.2833","-0.7867","50.894108","-1.394311","18.791","10","3.2","0.000","","-0.3787","-0.3787","-0.2833","-0.2833","-0.7867","-0.7867"
"0.891","-0.3959","-0.2268","-0.6688","50.894108","-1.394311","18.791","10","3.2","0.053","","-0.3959","-0.3959","-0.2268","-0.2268","-0.6688","-0.6688"
"0.941","-0.4538","-0.1879","-0.6925","50.894108","-1.394311","18.791","10","3.2","0.103","","-0.4538","-0.4538","-0.1879","-0.1879","-0.6925","-0.6925"
"0.991","-0.4129","0.0380","-0.6187","50.894108","-1.394311","18.791","10","3.2","0.153","","-0.4129","-0.4129","0.0380","0.0380","-0.6187","-0.6187"
"1.045","-0.5236","0.0812","-0.6017","50.894108","-1.394311","18.791","10","3.2","0.207","","-0.5236","-0.5236","0.0812","0.0812","-0.6017","-0.6017"
"1.099","-0.6890","0.2692","-0.6990","50.894108","-1.394311","18.791","10","3.2","0.261","","-0.6890","-0.6890","0.2692","0.2692","-0.6990","-0.6990"
"1.156","-0.8902","0.3154","-0.8081","50.894108","-1.394311","18.791","10","3.2","0.318","","-0.8902","-0.8902","0.3154","0.3154","-0.8081","-0.8081"
"1.206","-1.0612","0.3452","-0.8107","50.894108","-1.394311","18.791","10","3.2","0.368","","-1.0612","-1.0612","0.3452","0.3452","-0.8107","-0.8107"
"1.256","-1.0538","0.4179","-0.8710","50.894108","-1.394311","18.791","10","3.2","0.418","","-1.0538","-1.0538","0.4179","0.4179","-0.8710","-0.8710"
"1.307","-1.0617","0.3830","-0.6847","50.894108","-1.394311","18.791","10","3.2","0.469","","-1.0617","-1.0617","0.3830","0.3830","-0.6847","-0.6847"
"1.360","-0.9453","0.4375","-0.6641","50.894108","-1.394311","18.791","10","3.2","0.522","","-0.9453","-0.9453","0.4375","0.4375","-0.6641","-0.6641"
"1.416","-0.8943","0.5216","-0.6624","50.894108","-1.394311","18.791","10","3.2","0.578","","-0.8943","-0.8943","0.5216","0.5216","-0.6624","-0.6624"
"1.468","-0.7048","0.4664","-0.6069","50.894108","-1.394311","18.791","10","3.2","0.630","","-0.7048","-0.7048","0.4664","0.4664","-0.6069","-0.6069"
"1.522","-0.5418","0.5135","-0.5775","50.894108","-1.394311","18.791","10","3.2","0.684","","-0.5418","-0.5418","0.5135","0.5135","-0.5775","-0.5775"
"1.577","-0.5865","0.5868","-0.7379","50.894108","-1.394311","18.791","10","3.2","0.739","","-0.5865","-0.5865","0.5868","0.5868","-0.7379","-0.7379"
"1.629","-0.5009","0.6296","-0.7062","50.894108","-1.394311","18.791","10","3.2","0.791","","-0.5009","-0.5009","0.6296","0.6296","-0.7062","-0.7062"
"1.679","-0.6170","0.5414","-0.6675","50.894108","-1.394311","18.791","10","3.2","0.841","","-0.6170","-0.6170","0.5414","0.5414","-0.6675","-0.6675"
"1.729","-0.8447","0.5525","-0.2345","50.894108","-1.394311","18.791","10","3.2","0.891","","-0.8447","-0.8447","0.5525","0.5525","-0.2345","-0.2345"
"1.782","-0.7900","0.3918","-0.3366","50.894108","-1.394311","18.791","10","3.2","0.944","","-0.7900","-0.7900","0.3918","0.3918","-0.3366","-0.3366"
"1.833","-0.6951","0.3454","-0.3277","50.894100","-1.394343","19.219","10","3.8","0.000","","-0.6951","-0.6951","0.3454","0.3454","-0.3277","-0.3277"
"1.884","-0.5573","0.4593","-0.0167","50.894100","-1.394343","19.219","10","3.8","0.051","","-0.5573","-0.5573","0.4593","0.4593","-0.0167","-0.0167"
"1.934","-0.7619","0.5071","0.0866","50.894100","-1.394343","19.219","10","3.8","0.101","","-0.7619","-0.7619","0.5071","0.5071","0.0866","0.0866"
"1.991","-1.0164","0.7727","-0.4494","50.894100","-1.394343","19.219","10","3.8","0.158","","-1.0164","-1.0164","0.7727","0.7727","-0.4494","-0.4494"
"2.045","-0.7501","0.7489","0.2819","50.894100","-1.394343","19.219","10","3.8","0.212","","-0.7501","-0.7501","0.7489","0.7489","0.2819","0.2819"
"2.097","-0.5938","0.5099","-0.0749","50.894100","-1.394343","19.219","10","3.8","0.264","","-0.5938","-0.5938","0.5099","0.5099","-0.0749","-0.0749"
"2.152","-0.4261","1.3213","-0.1648","50.894100","-1.394343","19.219","10","3.8","0.319","","-0.4261","-0.4261","1.3213","1.3213","-0.1648","-0.1648"
"2.205","-0.6887","0.7036","0.0912","50.894100","-1.394343","19.219","10","3.8","0.372","","-0.6887","-0.6887","0.7036","0.7036","0.0912","0.0912"
"2.255","-0.4774","0.4219","-0.1489","50.894100","-1.394343","19.219","10","3.8","0.422","","-0.4774","-0.4774","0.4219","0.4219","-0.1489","-0.1489"
"2.308","0.1243","1.0292","-0.4640","50.894100","-1.394343","19.219","10","3.8","0.475","","0.1243","0.1243","1.0292","1.0292","-0.4640","-0.4640"
"2.364","-0.2586","0.6284","-0.1238","50.894100","-1.394343","19.219","10","3.8","0.531","","-0.2586","-0.2586","0.6284","0.6284","-0.1238","-0.1238"
"2.420","-0.0180","0.7638","0.4550","50.894100","-1.394343","19.219","10","3.8","0.587","","-0.0180","-0.0180","0.7638","0.7638","0.4550","0.4550"
"2.473","0.1809","0.6708","-0.4926","50.894100","-1.394343","19.219","10","3.8","0.640","","0.1809","0.1809","0.6708","0.6708","-0.4926","-0.4926"
"2.528","0.1594","1.9502","0.6675","50.894100","-1.394343","19.219","10","3.8","0.695","","0.1594","0.1594","1.9502","1.9502","0.6675","0.6675"
