Elapsed Time,X,Y,Z,Latitude,Longitude,Altitude,Accuracy,Speed,GPS Age,Mark,Min X,Max X,Min Y,Max Y,Min Z,Max Z
"0.000","-0.2627","-0.2891","-0.8464","50.894276","-1.393760","0.000","10","0.0","0.000","","-0.2627","-0.2627","-0.2891","-0.2891","-0.8464","-0.8464"
"0.054","-0.2916","-0.2708","-0.9082","50.894276","-1.393760","0.000","10","0.0","0.054","","-0.2916","-0.2916","-0.2708","-0.2708","-0.9082","-0.9082"
"0.109","-0.3195","-0.2694","-0.9243","50.894276","-1.393760","0.000","10","0.0","0.109","","-0.3195","-0.3195","-0.2694","-0.2694","-0.9243","-0.9243"
"0.162","-0.3170","-0.2776","-0.9504","50.894276","-1.393760","0.000","10","0.0","0.162","","-0.3170","-0.3170","-0.2776","-0.2776","-0.9504","-0.9504"
"0.217","-0.3343","-0.2966","-1.0050","50.894276","-1.393760","0.000","10","0.0","0.217","","-0.3343","-0.3343","-0.2966","-0.2966","-1.0050","-1.0050"
"0.271","-0.3010","-0.3071","-1.0179","50.894276","-1.393760","0.000","10","0.0","0.271","","-0.3010","-0.3010","-0.3071","-0.3071","-1.0179","-1.0179"
"0.321","-0.2408","-0.2922","-1.0682","50.894276","-1.393760","0.000","10","0.0","0.321","","-0.2408","-0.2408","-0.2922","-0.2922","-1.0682","-1.0682"
"0.375","-0.3084","-0.2159","-1.0883","50.894276","-1.393760","0.000","10","0.0","0.375","","-0.3084","-0.3084","-0.2159","-0.2159","-1.0883","-1.0883"
"0.427","-0.2236","-0.1407","-1.0461","50.894276","-1.393760","0.000","10","0.0","0.427","","-0.2236","-0.2236","-0.1407","-0.1407","-1.0461","-1.0461"
"0.479","-0.1177","-0.0898","-1.0354","50.894276","-1.393760","0.000","10","0.0","0.479","","-0.1177","-0.1177","-0.0898","-0.0898","-1.0354","-1.0354"
"0.534","-0.1050","-0.1824","-0.9202","50.894257","-1.393726","0.000","10","0.3","0.000","","-0.1050","-0.1050","-0.1824","-0.1824","-0.9202","-0.9202"
"0.585","-0.2045","-0.1162","-1.0865","50.894257","-1.393726","0.000","10","0.3","0.051","","-0.2045","-0.2045","-0.1162","-0.1162","-1.0865","-1.0865"
"0.637","-0.1820","-0.1186","-1.0142","50.894257","-1.393726","0.000","10","0.3","0.103","","-0.1820","-0.1820","-0.1186","-0.1186","-1.0142","-1.0142"
"0.694","-0.0632","-0.1071","-0.9303","50.894257","-1.393726","0.000","10","0.3","0.160","","-0.0632","-0.0632","-0.1071","-0.1071","-0.9303","-0.9303"
"0.744","-0.1301","-0.1113","-0.7337","50.894257","-1.393726","0.000","10","0.3","0.210","","-0.1301","-0.1301","-0.1113","-0.1113","-0.7337","-0.7337"
"0.799","0.0128","-0.4318","-1.0800","50.894257","-1.393726","0.000","10","0.3","0.265","","0.0128","0.0128","-0.4318","-0.4318","-1.0800","-1.0800"
"0.852","-0.1207","-0.1725","-1.0108","50.894257","-1.393726","0.000","10","0.3","0.318","","-0.1207","-0.1207","-0.1725","-0.1725","-1.0108","-1.0108"
"0.902","-0.0908","-0.4131","-1.0618","50.894257","-1.393726","0.000","10","0.3","0.368","","-0.0908","-0.0908","-0.4131","-0.4131","-1.0618","-1.0618"
"0.954","-0.0782","-0.3179","-0.9318","50.894257","-1.393726","0.000","10","0.3","0.420","","-0.0782","-0.0782","-0.3179","-0.3179","-0.9318","-0.9318"
"1.009","-0.0692","-0.2593","-0.9173","50.894257","-1.393726","0.000","10","0.3","0.475","","-0.0692","-0.0692","-0.2593","-0.2593","-0.9173","-0.9173"
"1.061","-0.0166","-0.2138","-0.9610","50.894257","-1.393726","0.000","10","0.3","0.527","","-0.0166","-0.0166","-0.2138","-0.2138","-0.9610","-0.9610"
"1.116","-0.2116","-0.1649","-0.7633","50.894257","-1.393726","0.000","10","0.3","0.582","","-0.2116","-0.2116","-0.1649","-0.1649","-0.7633","-0.7633"
"1.168","-0.2782","-0.1003","-0.9328","50.894257","-1.393726","0.000","10","0.3","0.634","","-0.2782","-0.2782","-0.1003","-0.1003","-0.9328","-0.9328"
"1.221","-0.4468","0.0859","-0.7331","50.894257","-1.393726","0.000","10","0.3","0.687","","-0.4468","-0.4468","0.0859","0.0859","-0.7331","-0.7331"
"1.271","-0.2199","0.0370","-0.5750","50.894257","-1.393726","0.000","10","0.3","0.737","","-0.2199","-0.2199","0.0370","0.0370","-0.5750","-0.5750"
"1.327","-0.5364","0.1504","-0.7449","50.894257","-1.393726","0.000","10","0.3","0.793","","-0.5364","-0.5364","0.1504","0.1504","-0.7449","-0.7449"
"1.383","-0.7010","0.0791","-0.5675","50.894257","-1.393726","0.000","10","0.0","0.000","","-0.7010","-0.7010","0.0791","0.0791","-0.5675","-0.5675"
"1.435","-0.8648","0.0258","-1.2005","50.894257","-1.393726","0.000","10","0.0","0.000","","-0.8648","-0.8648","0.0258","0.0258","-1.2005","-1.2005"
"1.491","-1.0764","0.0272","-1.2310","50.894257","-1.393726","0.000","10","0.0","0.000","","-1.0764","-1.0764","0.0272","0.0272","-1.2310","-1.2310"
"1.544","-0.8512","0.1496","-0.8853","50.894257","-1.393726","0.000","10","0.0","0.000","","-0.8512","-0.8512","0.1496","0.1496","-0.8853","-0.8853"
"1.596","-0.5995","0.3902","-0.7568","50.894257","-1.393726","0.000","10","0.0","0.052","","-0.5995","-0.5995","0.3902","0.3902","-0.7568","-0.7568"
"1.648","-1.0057","0.4456","-0.5576","50.894257","-1.393726","0.000","10","0.0","0.104","","-1.0057","-1.0057","0.4456","0.4456","-0.5576","-0.5576"
"1.698","-1.3259","0.6362","-0.6639","50.894257","-1.393726","0.000","10","0.0","0.154","","-1.3259","-1.3259","0.6362","0.6362","-0.6639","-0.6639"
"1.748","-1.0436","0.6141","-0.4164","50.894257","-1.393726","0.000","10","0.0","0.204","","-1.0436","-1.0436","0.6141","0.6141","-0.4164","-0.4164"
"1.804","-0.7655","0.4478","-0.4072","50.894257","-1.393726","0.000","10","0.0","0.260","","-0.7655","-0.7655","0.4478","0.4478","-0.4072","-0.4072"
"1.856","-0.5605","0.2871","-0.3704","50.894257","-1.393726","0.000","10","0.0","0.312","","-0.5605","-0.5605","0.2871","0.2871","-0.3704","-0.3704"
"1.908","-0.3345","0.0311","-0.4366","50.894257","-1.393726","0.000","10","0.0","0.364","","-0.3345","-0.3345","0.0311","0.0311","-0.4366","-0.4366"
"1.962","-0.6015","0.3480","-0.1288","50.894257","-1.393726","0.000","10","0.0","0.418","","-0.6015","-0.6015","0.3480","0.3480","-0.1288","-0.1288"
"2.014","-0.5329","0.6406","-0.6351","50.894257","-1.393726","0.000","10","0.0","0.470","","-0.5329","-0.5329","0.6406","0.6406","-0.6351","-0.6351"
"2.070","-0.6220","0.7917","-0.1086","50.894257","-1.393726","0.000","10","0.0","0.526","","-0.6220","-0.6220","0.7917","0.7917","-0.1086","-0.1086"
"2.121","-0.9331","0.5986","-0.7460","50.894257","-1.393726","0.000","10","0.0","0.577","","-0.9331","-0.9331","0.5986","0.5986","-0.7460","-0.7460"
"2.175","-0.7628","1.1166","-0.3019","50.894257","-1.393726","0.000","10","0.0","0.631","","-0.7628","-0.7628","1.1166","1.1166","-0.3019","-0.3019"
"2.229","-0.9719","0.3848","-0.2384","50.894257","-1.393726","0.000","10","0.0","0.685","","-0.9719","-0.9719","0.3848","0.3848","-0.2384","-0.2384"
"2.281","-0.8164","0.6393","-0.2847","50.894257","-1.393726","0.000","10","0.0","0.737","","-0.8164","-0.8164","0.6393","0.6393","-0.2847","-0.2847"
"2.337","-0.1823","0.5547","-0.0278","50.894257","-1.393726","0.000","10","0.0","0.793","","-0.1823","-0.1823","0.5547","0.5547","-0.0278","-0.0278"
"2.393","-0.1587","0.7600","0.3318","50.894257","-1.393726","0.000","10","0.0","0.849","","-0.1587","-0.1587","0.7600","0.7600","0.3318","0.3318"
"2.449","-0.1889","1.3085","-0.4083","50.894257","-1.393726","0.000","10","0.0","0.905","","-0.1889","-0.1889","1.3085","1.3085","-0.4083","-0.4083"
"2.499","-1.0063","1.9563","-0.5556","50.894257","-1.393726","0.000","10","0.0","0.000","","-1.0063","-1.0063","1.9563","1.9563","-0.5556","-0.5556"
"2.552","0.7098","0.2457","-0.0496","50.894257","-1.393726","0.000","10","0.0","0.000","","0.7098","0.7098","0.2457","0.2457","-0.0496","-0.0496"
"2.603","0.0876","0.3746","0.0064","50.894257","-1.393726","0.000","10","0.0","0.051","","0.0876","0.0876","0.3746","0.3746","0.0064","0.0064"
"2.655","-0.7385","0.8471","0.8445","50.894257","-1.393726","0.000","10","0.0","0.103","","-0.7385","-0.7385","0.8471","0.8471","0.8445","0.8445"
"2.710","-1.9774","1.8070","0.3751","50.894257","-1.393726","0.000","10","0.0","0.158","","-1.9774","-1.9774","1.8070","1.8070","0.3751","0.3751"
"2.762","0.3897","0.6374","0.1356","50.894257","-1.393726","0.000","10","0.0","0.210","","0.3897","0.3897","0.6374","0.6374","0.1356","0.1356"
"2.816","0.4868","1.6519","0.1521","50.894257","-1.393726","0.000","10","0.0","0.264","","0.4868","0.4868","1.6519","1.6519","0.1521","0.1521"
"2.867","0.0379","0.7423","-0.9509","50.894257","-1.393726","0.000","10","0.0","0.315","","0.0379","0.0379","0.7423","0.7423","-0.9509","-0.9509"
"2.918","-0.4419","1.3157","-0.7415","50.894257","-1.393726","0.000","10","0.0","0.366","","-0.4419","-0.4419","1.3157","1.3157","-0.7415","-0.7415"
"2.970","-0.3439","0.8257","0.0348","50.894257","-1.393726","0.000","10","0.0","0.418","","-0.3439","-0.3439","0.8257","0.8257","0.0348","0.0348"
"3.021","-0.0815","0.7101","-0.0545","50.894257","-1.393726","0.000","10","0.0","0.469","","-0.0815","-0.0815","0.7101","0.7101","-0.0545","-0.0545"
"3.071","-0.2367","0.9245","-0.0876","50.894257","-1.393726","0.000","10","0.0","0.519","","-0.2367","-0.2367","0.9245","0.9245","-0.0876","-0.0876"
"3.125","-0.1331","0.9208","-0.0864","50.894257","-1.393726","0.000","10","0.0","0.573","","-0.1331","-0.1331","0.9208","0.9208","-0.0864","-0.0864"
"3.179","-0.3796","1.0822","-0.0513","50.894257","-1.393726","0.000","10","0.0","0.627","","-0.3796","-0.3796","1.0822","1.0822","-0.0513","-0.0513"
"3.233","-0.6522","1.0922","-0.0958","50.894257","-1.393726","0.000","10","0.0","0.681","","-0.6522","-0.6522","1.0922","1.0922","-0.0958","-0.0958"
"3.286","-0.6821","0.8872","0.2896","50.894257","-1.393726","0.000","10","0.0","0.734","","-0.6821","-0.6821","0.8872","0.8872","0.2896","0.2896"
"3.337","-0.5396","1.5814","-0.2244","50.894257","-1.393726","0.000","10","0.0","0.785","","-0.5396","-0.5396","1.5814","1.5814","-0.2244","-0.2244"
"3.386","0.1126","1.9160","0.0506","50.894257","-1.393726","0.000","10","0.0","0.834","","0.1126","0.1126","1.9160","1.9160","0.0506","0.0506"
"3.444","0.0982","1.4661","0.1005","50.894257","-1.393726","0.000","10","0.0","0.892","","0.0982","0.0982","1.4661","1.4661","0.1005","0.1005"
"3.500","-0.4116","1.1636","-0.2357","50.894257","-1.393726","0.000","10","0.0","0.948","","-0.4116","-0.4116","1.1636","1.1636","-0.2357","-0.2357"
"3.554","0.1934","0.4319","-0.2430","50.894257","-1.393726","0.000","10","0.0","1.002","","0.1934","0.1934","0.4319","0.4319","-0.2430","-0.2430"
"3.606","0.4279","0.1388","-0.2198","50.894257","-1.393726","1.382","10","0.0","0.000","","0.4279","0.4279","0.1388","0.1388","-0.2198","-0.2198"
"3.662","0.0465","0.2751","0.0933","50.894257","-1.393726","1.382","10","0.0","0.056","","0.0465","0.0465","0.2751","0.2751","0.0933","0.0933"
"3.718","-1.1856","1.6104","1.3254","50.894257","-1.393726","1.382","10","0.0","0.112","","-1.1856","-1.1856","1.6104","1.6104","1.3254","1.3254"
"3.770","-1.1787","1.3414","0.6406","50.894257","-1.393726","1.382","10","0.0","0.164","","-1.1787","-1.1787","1.3414","1.3414","0.6406","0.6406"
"3.823","0.3964","1.3319","-0.0745","50.894257","-1.393726","1.382","10","0.0","0.217","","0.3964","0.3964","1.3319","1.3319","-0.0745","-0.0745"
"3.877","0.9847","-0.0003","-0.1869","50.894257","-1.393726","1.382","10","0.0","0.271","","0.9847","0.9847","-0.0003","-0.0003","-0.1869","-0.1869"
"3.931","-0.5226","1.7469","-0.5769","50.894257","-1.393726","1.382","10","0.0","0.325","","-0.5226","-0.5226","1.7469","1.7469","-0.5769","-0.5769"
"3.984","-0.6800","1.2135","-0.1375","50.894257","-1.393726","1.382","10","0.0","0.378","","-0.6800","-0.6800","1.2135","1.2135","-0.1375","-0.1375"
"4.039","0.2082","0.8164","-0.1733","50.894257","-1.393726","1.382","10","0.0","0.433","","0.2082","0.2082","0.8164","0.8164","-0.1733","-0.1733"
"4.093","-0.1287","0.8782","-0.1211","50.894257","-1.393726","1.382","10","0.0","0.487","","-0.1287","-0.1287","0.8782","0.8782","-0.1211","-0.1211"
"4.143","-0.1406","0.8639","-0.0602","50.894257","-1.393726","1.382","10","0.0","0.537","","-0.1406","-0.1406","0.8639","0.8639","-0.0602","-0.0602"
"4.198","-0.3065","0.9743","-0.0193","50.894257","-1.393726","1.382","10","0.0","0.592","","-0.3065","-0.3065","0.9743","0.9743","-0.0193","-0.0193"
"4.252","-0.3944","1.1684","0.0334","50.894257","-1.393726","1.382","10","0.0","0.646","","-0.3944","-0.3944","1.1684","1.1684","0.0334","0.0334"
"4.305","-0.7245","1.1537","-0.0907","50.894257","-1.393726","1.382","10","0.0","0.699","","-0.7245","-0.7245","1.1537","1.1537","-0.0907","-0.0907"
"4.356","-0.6991","1.0319","-0.1751","50.894257","-1.393726","1.382","10","0.0","0.750","","-0.6991","-0.6991","1.0319","1.0319","-0.1751","-0.1751"
"4.408","0.2419","1.6382","-0.1583","50.894257","-1.393726","1.382","10","0.0","0.802","","0.2419","0.2419","1.6382","1.6382","-0.1583","-0.1583"
"4.465","0.2706","1.7712","0.2347","50.894257","-1.393726","2.620","10","0.0","0.000","","0.2706","0.2706","1.7712","1.7712","0.2347","0.2347"
"4.521","-0.0809","1.0641","-0.1597","50.894257","-1.393726","2.620","10","0.0","0.000","","-0.0809","-0.0809","1.0641","1.0641","-0.1597","-0.1597"
