Elapsed Time,X,Y,Z,Latitude,Longitude,Altitude,Accuracy,Speed,GPS Age,Mark,Min X,Max X,Min Y,Max Y,Min Z,Max Z
"0.000","0.1007","-0.4802","-0.9975","50.894363","-1.393632","3.300","10","0.5","0.000","","0.1007","0.1007","-0.4802","-0.4802","-0.9975","-0.9975"
"0.051","0.0711","-0.4159","-0.8178","50.894363","-1.393632","3.300","10","0.5","0.051","","0.0711","0.0711","-0.4159","-0.4159","-0.8178","-0.8178"
"0.103","0.0861","-0.5173","-0.7696","50.894363","-1.393632","3.300","10","0.5","0.103","","0.0861","0.0861","-0.5173","-0.5173","-0.7696","-0.7696"
"0.156","0.1789","-0.3773","-1.0215","50.894363","-1.393632","3.300","10","0.5","0.156","","0.1789","0.1789","-0.3773","-0.3773","-1.0215","-1.0215"
"0.209","0.1223","-0.5497","-0.8143","50.894363","-1.393632","3.300","10","0.5","0.209","","0.1223","0.1223","-0.5497","-0.5497","-0.8143","-0.8143"
"0.262","0.2155","-0.4777","-0.9457","50.894363","-1.393632","3.300","10","0.5","0.262","","0.2155","0.2155","-0.4777","-0.4777","-0.9457","-0.9457"
"0.318","0.1238","-0.4399","-1.0224","50.894356","-1.393643","4.159","10","0.6","0.000","","0.1238","0.1238","-0.4399","-0.4399","-1.0224","-1.0224"
"0.372","0.2626","-0.4836","-0.9613","50.894356","-1.393643","4.159","10","0.6","0.054","","0.2626","0.2626","-0.4836","-0.4836","-0.9613","-0.9613"
"0.427","0.1710","-0.4295","-0.9031","50.894356","-1.393643","4.159","10","0.6","0.109","","0.1710","0.1710","-0.4295","-0.4295","-0.9031","-0.9031"
"0.478","0.1941","-0.4700","-0.8268","50.894356","-1.393643","4.159","10","0.6","0.160","","0.1941","0.1941","-0.4700","-0.4700","-0.8268","-0.8268"
"0.530","0.1585","-0.3888","-0.9482","50.894356","-1.393643","4.159","10","0.6","0.212","","0.1585","0.1585","-0.3888","-0.3888","-0.9482","-0.9482"
"0.580","0.1127","-0.5565","-0.8252","50.894356","-1.393643","4.159","10","0.6","0.262","","0.1127","0.1127","-0.5565","-0.5565","-0.8252","-0.8252"
"0.631","0.1578","-0.3823","-0.9016","50.894356","-1.393643","4.159","10","0.6","0.313","","0.1578","0.1578","-0.3823","-0.3823","-0.9016","-0.9016"
"0.684","0.1584","-0.5639","-0.8000","50.894356","-1.393643","4.159","10","0.6","0.366","","0.1584","0.1584","-0.5639","-0.5639","-0.8000","-0.8000"
"0.736","0.1372","-0.4995","-0.9220","50.894356","-1.393643","4.159","10","0.6","0.418","","0.1372","0.1372","-0.4995","-0.4995","-0.9220","-0.9220"
